2025-11-16 16:04:28 | INFO | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 16:04:28 | INFO | Firebase успешно инициализирован.
2025-11-16 16:04:37 | INFO | Вход: admin (admin)
2025-11-16 16:08:30 | INFO     | config.py:52 | Система логирования инициализирована.
2025-11-16 16:08:31 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 16:08:31 | INFO     | firebase_service.py:33 | Firebase успешно инициализирован.
2025-11-16 16:08:38 | INFO     | main_window.py:78 | Вход: admin (admin)
2025-11-16 16:09:39 | INFO     | config.py:52 | Система логирования инициализирована.
2025-11-16 16:09:40 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 16:09:40 | INFO     | firebase_service.py:33 | Firebase успешно инициализирован.
2025-11-16 16:09:47 | INFO     | main_window.py:78 | Вход: admin (admin)
2025-11-16 16:25:40 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:25:41 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 16:25:41 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 16:25:42 | INFO     | firebase_service.py:129 | Пакетная запись начальных данных успешно выполнена.
2025-11-16 16:25:44 | INFO     | main.py:41 | Вход отменен. Завершение работы.
2025-11-16 16:26:21 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:26:22 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 16:26:22 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 16:26:23 | INFO     | firebase_service.py:129 | Пакетная запись начальных данных успешно выполнена.
2025-11-16 16:28:37 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:28:38 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 16:28:38 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 16:28:43 | ERROR    | firebase_service.py:141 | Ошибка получения структуры гайдов: 400 The query requires an index. You can create it here: https://console.firebase.google.com/v1/r/project/cs2-guild-hub/firestore/indexes?create_composite=Ck9wcm9qZWN0cy9jczItZ3VpbGQtaHViL2RhdGFiYXNlcy8oZGVmYXVsdCkvY29sbGVjdGlvbkdyb3Vwcy9zdHJ1Y3R1cmUvaW5kZXhlcy9fEAEaDQoJcGFyZW50X2lkEAEaCQoFb3JkZXIQARoMCghfX25hbWVfXxAB
2025-11-16 16:32:12 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:32:13 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 16:32:13 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 16:32:26 | ERROR    | firebase_service.py:178 | Ошибка создания нового узла: 400 The query requires an index. You can create it here: https://console.firebase.google.com/v1/r/project/cs2-guild-hub/firestore/indexes?create_composite=Ck9wcm9qZWN0cy9jczItZ3VpbGQtaHViL2RhdGFiYXNlcy8oZGVmYXVsdCkvY29sbGVjdGlvbkdyb3Vwcy9zdHJ1Y3R1cmUvaW5kZXhlcy9fEAEaDQoJcGFyZW50X2lkEAEaCQoFb3JkZXIQAhoMCghfX25hbWVfXxAC
2025-11-16 16:33:42 | ERROR    | firebase_service.py:178 | Ошибка создания нового узла: 400 The query requires an index. That index is currently building and cannot be used yet. See its status here: https://console.firebase.google.com/v1/r/project/cs2-guild-hub/firestore/indexes?create_composite=Clpwcm9qZWN0cy9jczItZ3VpbGQtaHViL2RhdGFiYXNlcy8oZGVmYXVsdCkvY29sbGVjdGlvbkdyb3Vwcy9zdHJ1Y3R1cmUvaW5kZXhlcy9DSUNBZ09pM2tKQUsQARoNCglwYXJlbnRfaWQQARoJCgVvcmRlchACGgwKCF9fbmFtZV9fEAI
2025-11-16 16:35:24 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:35:25 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 16:35:25 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 16:38:39 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:39:50 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:40:44 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:40:44 | ERROR    | main.py:55 | Файл учетных данных не найден по пути: path/to/your/firebase-adminsdk.json
2025-11-16 16:41:28 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:41:28 | INFO     | main.py:64 | Firebase Admin SDK успешно инициализирован.
2025-11-16 16:47:29 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:53:49 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:59:53 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 16:59:54 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 16:59:54 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 17:00:38 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 17:00:39 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 17:00:39 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 17:02:18 | INFO     | admin_dialogs.py:212 | Загружено 5 узлов структуры гайдов.
2025-11-16 17:02:20 | INFO     | admin_dialogs.py:212 | Загружено 5 узлов структуры гайдов.
2025-11-16 18:22:05 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:22:06 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:22:06 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:24:03 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:24:04 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:24:04 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:24:19 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:24:20 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:24:20 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:24:49 | INFO     | admin_dialogs.py:303 | Загружено 7 узлов структуры гайдов.
2025-11-16 18:25:38 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:25:39 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:25:39 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:31:36 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:31:37 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:31:37 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:41:47 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:41:48 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:41:48 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:42:19 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:42:19 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:42:19 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
2025-11-16 18:42:37 | INFO     | config.py:42 | Система логирования инициализирована.
2025-11-16 18:42:38 | INFO     | main.py:45 | === Запуск CS2 Guide Hub v7.21 (Firebase Sync) ===
2025-11-16 18:42:38 | INFO     | firebase_service.py:32 | Firebase успешно инициализирован.
